epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,672.55,2.07725,3.48859,0.01063,0.17369,0.14512,0.07759,0.02864,2.32714,3.38018,0.01464,0.000368229,0.000368229,0.000368229
2,2055.66,2.09619,2.8452,0.01159,0.23024,0.12811,0.09303,0.03445,2.30592,3.0574,0.014,0.000735638,0.000735638,0.000735638
3,3254.82,2.11764,2.81428,0.01285,0.2293,0.16806,0.12721,0.04893,2.21218,2.82984,0.01358,0.00110011,0.00110011,0.00110011
4,4676.26,2.1385,2.71766,0.01252,0.26476,0.21737,0.14901,0.05423,2.229,2.93713,0.01379,0.0010978,0.0010978,0.0010978
5,6194.66,2.14914,2.58023,0.01212,0.28605,0.2225,0.16358,0.06653,2.17225,2.72095,0.01337,0.0010934,0.0010934,0.0010934
6,7162.29,2.13116,2.47498,0.0117,0.32619,0.27477,0.22198,0.08884,2.14202,2.51301,0.01305,0.001089,0.001089,0.001089
7,8899.92,2.10049,2.39403,0.01193,0.33952,0.268,0.22131,0.08501,2.14174,2.39582,0.01302,0.0010846,0.0010846,0.0010846
8,10313.2,2.07549,2.26728,0.01183,0.37149,0.29335,0.24791,0.10204,2.11274,2.36958,0.01285,0.0010802,0.0010802,0.0010802
9,12054.5,2.06861,2.19924,0.01151,0.33205,0.31069,0.2428,0.09656,2.12479,2.34782,0.01297,0.0010758,0.0010758,0.0010758
10,13594.7,2.05225,2.15231,0.0116,0.36273,0.30856,0.25193,0.10559,2.10795,2.24194,0.01277,0.0010714,0.0010714,0.0010714
11,15445.2,2.03881,2.10588,0.01122,0.37409,0.32257,0.26451,0.10829,2.13213,2.26092,0.01309,0.001067,0.001067,0.001067
12,17006.4,2.04662,2.02693,0.01082,0.41388,0.31178,0.28025,0.11253,2.1362,2.27399,0.01312,0.0010626,0.0010626,0.0010626
13,19126.3,1.99017,1.97602,0.0113,0.37161,0.32725,0.26455,0.11243,2.10908,2.22375,0.01277,0.00105821,0.00105821,0.00105821
14,20437.1,2.00813,1.9791,0.01116,0.42199,0.34398,0.30323,0.12321,2.12309,2.28316,0.01284,0.00105381,0.00105381,0.00105381
15,21957,1.96689,1.88993,0.01123,0.381,0.34478,0.29151,0.11976,2.11833,2.24952,0.01311,0.00104941,0.00104941,0.00104941
16,22911.8,1.9714,1.89688,0.01098,0.42244,0.35196,0.31009,0.12673,2.06407,2.15662,0.01239,0.00104501,0.00104501,0.00104501
17,23936.9,1.95176,1.7663,0.01018,0.53883,0.33745,0.34009,0.14605,2.09576,2.18209,0.01259,0.00104061,0.00104061,0.00104061
18,24779.5,1.95196,1.76569,0.01066,0.46676,0.35687,0.34474,0.15437,2.07221,2.15385,0.01252,0.00103621,0.00103621,0.00103621
19,26109.1,1.93059,1.75209,0.01058,0.45008,0.36573,0.3238,0.13494,2.06097,2.03702,0.01254,0.00103181,0.00103181,0.00103181
20,27345,1.93438,1.68421,0.01015,0.50254,0.35312,0.34593,0.15264,2.07909,2.01314,0.01218,0.00102741,0.00102741,0.00102741
21,28576.5,1.89364,1.72691,0.01078,0.456,0.37041,0.3268,0.1383,2.07226,2.01114,0.01249,0.00102301,0.00102301,0.00102301
22,30148.2,1.90691,1.60511,0.01031,0.44906,0.36903,0.31268,0.13377,2.10008,2.12266,0.01286,0.00101861,0.00101861,0.00101861
23,31174.1,1.89173,1.56646,0.01011,0.5178,0.38434,0.37644,0.16651,2.09354,1.95531,0.01245,0.00101421,0.00101421,0.00101421
24,32595.3,1.87912,1.52944,0.0097,0.50131,0.37943,0.37345,0.16411,2.07334,2.03796,0.01248,0.00100981,0.00100981,0.00100981
25,34577.9,1.90224,1.54523,0.01032,0.43926,0.36819,0.33278,0.14267,2.0789,2.17603,0.0125,0.00100541,0.00100541,0.00100541
26,35288.3,1.88177,1.53767,0.01019,0.46356,0.38663,0.36171,0.15623,2.11808,2.07869,0.01273,0.00100101,0.00100101,0.00100101
27,36460,1.85394,1.48918,0.00991,0.45794,0.38773,0.34392,0.15173,2.05993,2.08267,0.0123,0.000996611,0.000996611,0.000996611
28,37464.8,1.84375,1.46501,0.00974,0.51275,0.3886,0.36681,0.16208,2.05519,2.07343,0.01216,0.000992212,0.000992212,0.000992212
29,38634.5,1.8371,1.44973,0.00957,0.57065,0.40894,0.40008,0.17292,2.02971,2.00062,0.01207,0.000987812,0.000987812,0.000987812
30,40568.7,1.80779,1.38104,0.00993,0.51198,0.40182,0.38354,0.1706,2.10039,2.09701,0.01257,0.000983413,0.000983413,0.000983413
31,42211.6,1.82255,1.38926,0.0097,0.54633,0.39754,0.38778,0.17161,2.07693,2.01297,0.0123,0.000979013,0.000979013,0.000979013
32,44086.2,1.80093,1.36235,0.00976,0.55143,0.39314,0.39033,0.17665,2.05248,1.97025,0.01219,0.000974614,0.000974614,0.000974614
33,46026.6,1.78715,1.33164,0.00951,0.48692,0.41605,0.37206,0.16301,2.05035,2.09939,0.0121,0.000970214,0.000970214,0.000970214
34,48172.8,1.79422,1.30101,0.00942,0.52148,0.40859,0.3948,0.17128,2.0786,2.10091,0.01233,0.000965815,0.000965815,0.000965815
35,49324.6,1.76104,1.27376,0.00945,0.54514,0.43661,0.43955,0.19269,2.0923,1.92213,0.01227,0.000961415,0.000961415,0.000961415
36,50340.5,1.73929,1.25304,0.00937,0.57034,0.42819,0.4252,0.18942,2.08272,2.08841,0.01245,0.000957015,0.000957015,0.000957015
37,51443,1.7768,1.2605,0.00934,0.52337,0.4412,0.40644,0.17833,2.05769,1.9441,0.01207,0.000952616,0.000952616,0.000952616
38,52786.2,1.73446,1.23098,0.00957,0.54455,0.41557,0.41981,0.18554,2.0831,2.01054,0.01251,0.000948216,0.000948216,0.000948216
39,54055.2,1.77454,1.21154,0.00922,0.55585,0.43567,0.43525,0.19514,2.05153,1.92486,0.01218,0.000943817,0.000943817,0.000943817
40,55263.8,1.73319,1.16507,0.0092,0.53039,0.40898,0.38526,0.16769,2.05311,2.00452,0.01217,0.000939417,0.000939417,0.000939417
41,56957,1.70914,1.21453,0.00955,0.55038,0.42498,0.42238,0.18859,2.04796,2.08341,0.01209,0.000935018,0.000935018,0.000935018
42,819.983,1.84729,1.29753,0.01031,0.48048,0.39646,0.37102,0.15744,2.13123,2.1825,0.01318,0.000930618,0.000930618,0.000930618
43,2427.67,1.76136,1.15591,0.00964,0.51031,0.41794,0.38743,0.17062,2.11344,2.16802,0.01273,0.000926218,0.000926218,0.000926218
44,3681.75,1.69596,1.15114,0.00975,0.56809,0.395,0.40019,0.17634,2.0641,2.02595,0.01231,0.000921819,0.000921819,0.000921819
45,5089.08,1.70445,1.14543,0.0094,0.55836,0.41915,0.40604,0.18167,2.0612,2.04388,0.01256,0.000917419,0.000917419,0.000917419
46,6450.94,1.71205,1.08758,0.00895,0.53855,0.41483,0.38943,0.17017,2.08616,2.07916,0.01233,0.00091302,0.00091302,0.00091302
47,7564.14,1.72026,1.1068,0.0087,0.54742,0.42518,0.42081,0.18994,2.02957,1.95818,0.01209,0.00090862,0.00090862,0.00090862
48,8964.1,1.69337,1.08616,0.00897,0.54444,0.45295,0.44249,0.19863,2.04728,2.0118,0.01214,0.000904221,0.000904221,0.000904221
49,10594.2,1.66976,1.06617,0.00889,0.58603,0.43308,0.44663,0.19913,2.07494,1.95899,0.01215,0.000899821,0.000899821,0.000899821
50,12326.8,1.67395,1.04272,0.00852,0.55746,0.45859,0.42922,0.19353,2.04704,1.9168,0.0122,0.000895422,0.000895422,0.000895422
51,13179.8,1.65753,1.02827,0.0086,0.54428,0.47603,0.43683,0.19681,2.05442,1.97469,0.01236,0.000891022,0.000891022,0.000891022
52,14822.8,1.66671,1.02543,0.00848,0.53029,0.45177,0.41325,0.18348,2.06374,2.05219,0.01241,0.000886622,0.000886622,0.000886622
53,16183.5,1.66615,1.00522,0.00817,0.55091,0.4291,0.41978,0.1958,2.05642,2.05362,0.01222,0.000882223,0.000882223,0.000882223
54,17619,1.634,0.99885,0.00866,0.56634,0.42747,0.40225,0.18494,2.04022,2.10172,0.01214,0.000877823,0.000877823,0.000877823
55,18942.1,1.64735,0.99652,0.0085,0.56057,0.45613,0.4361,0.19253,2.09904,2.09589,0.0125,0.000873424,0.000873424,0.000873424
56,20270.7,1.61164,0.96377,0.00857,0.56214,0.44153,0.43135,0.19888,2.06083,2.18422,0.01245,0.000869024,0.000869024,0.000869024
57,21160.6,1.6219,0.97245,0.00842,0.55825,0.44436,0.42031,0.1901,2.06566,2.08683,0.01215,0.000864625,0.000864625,0.000864625
58,22264.7,1.62332,0.94145,0.00793,0.57591,0.46252,0.44871,0.20752,2.05507,2.13867,0.01218,0.000860225,0.000860225,0.000860225
59,23658.9,1.60406,0.9331,0.00817,0.5755,0.44734,0.43494,0.20047,2.03362,2.17282,0.0123,0.000855826,0.000855826,0.000855826
60,25149.4,1.58692,0.91813,0.00809,0.57837,0.45946,0.44788,0.19936,2.07847,2.1077,0.01251,0.000851426,0.000851426,0.000851426
61,26626.7,1.59312,0.88735,0.00782,0.58023,0.43358,0.42709,0.19629,2.08938,2.15809,0.01235,0.000847026,0.000847026,0.000847026
62,27531.5,1.56206,0.91382,0.00829,0.5936,0.44396,0.43986,0.20015,2.0663,2.02713,0.01216,0.000842627,0.000842627,0.000842627
63,29163.9,1.55665,0.87746,0.00784,0.58344,0.45565,0.45562,0.205,2.07894,2.11888,0.01241,0.000838227,0.000838227,0.000838227
64,30344.5,1.55019,0.86246,0.00775,0.58234,0.4521,0.43476,0.19606,2.07393,2.09054,0.01232,0.000833828,0.000833828,0.000833828
65,31724.8,1.54088,0.8407,0.0074,0.60844,0.4712,0.47779,0.22348,2.07048,2.15555,0.01216,0.000829428,0.000829428,0.000829428
66,34035.5,1.5575,0.85869,0.00784,0.54691,0.4561,0.44702,0.20453,2.07557,2.17454,0.01247,0.000825029,0.000825029,0.000825029
67,34842,1.53967,0.861,0.00774,0.59483,0.43182,0.43627,0.19857,2.10054,2.31251,0.01269,0.000820629,0.000820629,0.000820629
68,784.707,1.58561,0.88235,0.00802,0.58801,0.4328,0.44194,0.19574,2.10826,2.08184,0.01272,0.000816229,0.000816229,0.000816229
69,2444.94,1.51497,0.80303,0.0077,0.61338,0.43236,0.4403,0.20335,2.10698,2.2501,0.01256,0.00081183,0.00081183,0.00081183
70,3619.06,1.47969,0.80207,0.00792,0.59963,0.44475,0.43614,0.19651,2.09402,2.06762,0.01253,0.00080743,0.00080743,0.00080743
71,5259.66,1.48492,0.80276,0.00774,0.5795,0.43889,0.41926,0.1881,2.08354,2.20578,0.01258,0.000803031,0.000803031,0.000803031
72,6602.04,1.5023,0.78511,0.00734,0.58243,0.45221,0.43966,0.20213,2.09924,2.15731,0.01247,0.000798631,0.000798631,0.000798631
73,7703.7,1.50564,0.78345,0.00713,0.58601,0.44224,0.43765,0.20308,2.05963,2.23072,0.01241,0.000794232,0.000794232,0.000794232
74,9251.64,1.4805,0.75797,0.00735,0.55983,0.43206,0.43217,0.20527,2.08704,2.19358,0.01234,0.000789832,0.000789832,0.000789832
75,10766,1.46277,0.7688,0.00732,0.57286,0.44961,0.43281,0.19664,2.09603,2.15053,0.01263,0.000785433,0.000785433,0.000785433
76,12419.3,1.47293,0.75862,0.00713,0.60552,0.46012,0.45912,0.20974,2.07594,2.13503,0.01235,0.000781033,0.000781033,0.000781033
77,13630.5,1.45378,0.74829,0.0071,0.589,0.4391,0.43207,0.19839,2.09182,2.29367,0.01248,0.000776633,0.000776633,0.000776633
78,15258.6,1.46591,0.75279,0.00704,0.62204,0.44132,0.445,0.20406,2.10239,2.07943,0.01268,0.000772234,0.000772234,0.000772234
79,16735.3,1.46985,0.74461,0.00677,0.59911,0.46426,0.45084,0.2067,2.07458,2.12274,0.01226,0.000767834,0.000767834,0.000767834
80,18670.4,1.4408,0.74292,0.00724,0.58508,0.44606,0.44733,0.21164,2.08163,2.19656,0.01244,0.000763435,0.000763435,0.000763435
81,20084,1.45691,0.73965,0.00711,0.58258,0.46089,0.44943,0.20913,2.0952,2.11961,0.01261,0.000759035,0.000759035,0.000759035
82,21575.2,1.4216,0.71412,0.00714,0.59457,0.43483,0.4257,0.19632,2.08217,2.23261,0.01244,0.000754636,0.000754636,0.000754636
83,22939.1,1.43173,0.71671,0.00702,0.59762,0.44394,0.44111,0.2023,2.09667,2.15315,0.01255,0.000750236,0.000750236,0.000750236
84,23945.2,1.43576,0.70226,0.00663,0.59574,0.47078,0.46144,0.21338,2.08667,2.1504,0.01255,0.000745837,0.000745837,0.000745837
85,25707.8,1.41128,0.70581,0.00673,0.58083,0.47976,0.46312,0.21875,2.07391,2.12544,0.01253,0.000741437,0.000741437,0.000741437
86,26858.7,1.40362,0.70212,0.00675,0.59783,0.4388,0.44896,0.20621,2.10347,2.2423,0.01231,0.000737037,0.000737037,0.000737037
87,28245.8,1.39864,0.67752,0.00646,0.57776,0.4682,0.46752,0.21583,2.13101,2.2244,0.01282,0.000732638,0.000732638,0.000732638
88,29098,1.37522,0.68903,0.00688,0.61814,0.44371,0.46142,0.21781,2.11065,2.17265,0.01264,0.000728238,0.000728238,0.000728238
89,30584.5,1.37418,0.67128,0.00652,0.59591,0.47466,0.46772,0.21718,2.11765,2.21072,0.01268,0.000723839,0.000723839,0.000723839
90,31304.1,1.38004,0.65817,0.00652,0.59858,0.4475,0.45368,0.20968,2.11293,2.21421,0.01275,0.000719439,0.000719439,0.000719439
91,32580.9,1.37126,0.64205,0.00625,0.60016,0.46972,0.47177,0.22483,2.10161,2.18287,0.01264,0.00071504,0.00071504,0.00071504
92,34613.5,1.3883,0.66749,0.00665,0.60071,0.45305,0.45469,0.21719,2.11199,2.20061,0.0125,0.00071064,0.00071064,0.00071064
93,35264.6,1.36374,0.6601,0.00649,0.59435,0.46465,0.45247,0.21511,2.11236,2.20067,0.01272,0.00070624,0.00070624,0.00070624
94,36425.2,1.39654,0.69715,0.00664,0.60998,0.44571,0.45001,0.21231,2.09608,2.08186,0.01252,0.000701841,0.000701841,0.000701841
95,37383.3,1.39976,0.68877,0.00663,0.59042,0.45927,0.46424,0.22051,2.10606,2.20117,0.01254,0.000697441,0.000697441,0.000697441
96,38735.8,1.39198,0.69037,0.00646,0.58669,0.45332,0.47046,0.22606,2.1128,2.25529,0.01261,0.000693042,0.000693042,0.000693042
97,40585.8,1.35651,0.6745,0.00667,0.63016,0.43851,0.45455,0.21759,2.10891,2.14086,0.0125,0.000688642,0.000688642,0.000688642
98,42274.9,1.37954,0.69291,0.00653,0.63795,0.42981,0.4455,0.20442,2.12504,2.2297,0.01263,0.000684243,0.000684243,0.000684243
99,43989.4,1.36347,0.68132,0.00662,0.56628,0.46748,0.44511,0.20577,2.10984,2.16498,0.01245,0.000679843,0.000679843,0.000679843
100,45790.4,1.35411,0.6532,0.00643,0.61275,0.43261,0.43616,0.20214,2.10958,2.26573,0.01256,0.000675444,0.000675444,0.000675444
101,749.361,1.38398,0.66078,0.00668,0.53787,0.47222,0.44072,0.20101,2.13932,2.18866,0.01273,0.000671044,0.000671044,0.000671044
102,2185.11,1.32354,0.61229,0.00627,0.5995,0.44088,0.4524,0.20834,2.13361,2.30698,0.01275,0.000666644,0.000666644,0.000666644
103,3412.29,1.28519,0.61428,0.00646,0.60556,0.47938,0.48137,0.22446,2.13438,2.1342,0.01275,0.000662245,0.000662245,0.000662245
104,4936.31,1.29171,0.61632,0.00634,0.59821,0.42719,0.43159,0.1997,2.14083,2.31708,0.01288,0.000657845,0.000657845,0.000657845
