epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.5864,2.11638,4.16848,0.01075,0.32701,0.09296,0.0347,0.01509,2.05131,4.02618,0.01116,0.000368229,0.000368229,0.000368229
2,133.763,1.98756,3.42247,0.01034,0.34227,0.102,0.06565,0.02836,2.05161,3.32055,0.01136,0.000735638,0.000735638,0.000735638
3,198.561,1.93676,3.26557,0.01087,0.22107,0.16558,0.1071,0.04558,1.97572,3.00545,0.01111,0.00110011,0.00110011,0.00110011
4,263.119,1.96461,3.07021,0.0107,0.30535,0.15328,0.11337,0.05274,2.0089,2.966,0.01153,0.0010978,0.0010978,0.0010978
5,327.796,1.99397,2.85682,0.01049,0.3064,0.19235,0.14204,0.06153,2.01885,2.8812,0.01119,0.0010934,0.0010934,0.0010934
6,392.935,2.01771,2.74024,0.01042,0.27171,0.21765,0.15504,0.06888,1.98633,2.59629,0.01124,0.001089,0.001089,0.001089
7,458.461,1.98698,2.65117,0.01071,0.27512,0.23933,0.17018,0.07063,2.02623,2.61634,0.01154,0.0010846,0.0010846,0.0010846
8,522.186,1.97618,2.53021,0.01077,0.33802,0.23474,0.18756,0.08197,2.02285,2.51225,0.01163,0.0010802,0.0010802,0.0010802
9,593.995,1.98896,2.44263,0.01048,0.29658,0.25773,0.18221,0.07818,2.02946,2.56184,0.01187,0.0010758,0.0010758,0.0010758
10,658.548,1.98041,2.3812,0.01071,0.30176,0.2659,0.1971,0.08775,2.055,2.38175,0.01184,0.0010714,0.0010714,0.0010714
11,722.849,1.98306,2.35308,0.01043,0.39544,0.25859,0.21912,0.09296,2.03241,2.43,0.01168,0.001067,0.001067,0.001067
12,788.091,1.9973,2.25684,0.01015,0.36115,0.25877,0.21386,0.09434,2.06709,2.54967,0.01213,0.0010626,0.0010626,0.0010626
13,854.184,1.94933,2.19399,0.01068,0.33962,0.29597,0.2261,0.09906,2.04726,2.35539,0.0118,0.00105821,0.00105821,0.00105821
14,918.643,1.9755,2.16824,0.01057,0.32317,0.29913,0.22451,0.09829,2.05049,2.42185,0.01183,0.00105381,0.00105381,0.00105381
15,983.921,1.93811,2.09418,0.01067,0.38553,0.28856,0.23394,0.09916,2.07104,2.36204,0.01193,0.00104941,0.00104941,0.00104941
16,1047.68,1.94437,2.09225,0.01051,0.39932,0.30258,0.25484,0.11185,2.06144,2.36062,0.01206,0.00104501,0.00104501,0.00104501
17,1112.34,1.95636,1.99967,0.0099,0.42676,0.32071,0.29551,0.12994,2.09488,2.25732,0.01215,0.00104061,0.00104061,0.00104061
18,1176.74,1.94472,1.98882,0.01024,0.38863,0.31286,0.25822,0.11469,2.06379,2.35338,0.01211,0.00103621,0.00103621,0.00103621
19,1240.82,1.91524,1.94427,0.01011,0.38638,0.30383,0.24576,0.10764,2.06882,2.41896,0.01207,0.00103181,0.00103181,0.00103181
20,1304.9,1.9254,1.90858,0.00984,0.41301,0.34491,0.29313,0.13133,2.0389,2.21798,0.0118,0.00102741,0.00102741,0.00102741
21,1368.65,1.90533,1.9267,0.01051,0.43231,0.31487,0.27997,0.12365,2.04818,2.30364,0.01197,0.00102301,0.00102301,0.00102301
22,1434.23,1.92042,1.84185,0.01008,0.42475,0.31211,0.27256,0.12089,2.06806,2.35763,0.01212,0.00101861,0.00101861,0.00101861
23,1498.58,1.91331,1.80105,0.00999,0.40977,0.31709,0.27328,0.12344,2.0493,2.27141,0.01206,0.00101421,0.00101421,0.00101421
24,1566.18,1.91328,1.73473,0.00959,0.43852,0.34494,0.29513,0.13266,2.06991,2.26341,0.0121,0.00100981,0.00100981,0.00100981
25,1638.26,1.90822,1.75783,0.0101,0.47104,0.28426,0.2692,0.11363,2.08843,2.32595,0.01249,0.00100541,0.00100541,0.00100541
26,1702.43,1.91131,1.78333,0.01006,0.42478,0.32784,0.29461,0.13197,2.06666,2.34444,0.01218,0.00100101,0.00100101,0.00100101
27,1766,1.90664,1.73353,0.01,0.42209,0.3498,0.29064,0.12788,2.05208,2.29562,0.01198,0.000996611,0.000996611,0.000996611
28,1830.55,1.89837,1.7103,0.00988,0.47223,0.34478,0.30635,0.13618,2.05392,2.20972,0.01196,0.000992212,0.000992212,0.000992212
29,1894.58,1.88862,1.68384,0.00967,0.45735,0.34402,0.3074,0.13582,2.07369,2.2437,0.01193,0.000987812,0.000987812,0.000987812
