epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.36,2.14727,3.79488,0.01105,0.22139,0.07131,0.07029,0.02674,2.1257,3.49855,0.01208,0.000368229,0.000368229,0.000368229
2,410.22,2.08784,2.8494,0.01126,0.25147,0.15763,0.11195,0.0452,2.1978,2.88451,0.01338,0.000735638,0.000735638,0.000735638
3,543.452,2.06454,2.76085,0.01208,0.2298,0.16364,0.10147,0.0406,2.11539,2.87501,0.01255,0.00110011,0.00110011,0.00110011
4,647.089,2.10741,2.69658,0.01208,0.2649,0.21329,0.13691,0.05359,2.16729,2.83929,0.01314,0.0010978,0.0010978,0.0010978
5,1032.37,2.109,2.51013,0.01155,0.26248,0.23276,0.15855,0.06497,2.18259,2.64591,0.01321,0.0010934,0.0010934,0.0010934
6,1139.63,2.10236,2.41223,0.01131,0.35243,0.27915,0.23432,0.09788,2.14724,2.44548,0.01329,0.001089,0.001089,0.001089
7,1719.25,2.07913,2.32582,0.01158,0.39974,0.27034,0.22469,0.08912,2.13029,2.41889,0.0126,0.0010846,0.0010846,0.0010846
8,1821.96,2.04094,2.24278,0.0114,0.37618,0.28372,0.25383,0.10392,2.18199,2.379,0.01307,0.0010802,0.0010802,0.0010802
9,2251.12,2.05292,2.18224,0.01115,0.36207,0.30079,0.24197,0.0946,2.11713,2.50895,0.01291,0.0010758,0.0010758,0.0010758
10,2354.27,2.03976,2.13463,0.01133,0.4032,0.32444,0.28581,0.11748,2.0928,2.19601,0.01246,0.0010714,0.0010714,0.0010714
11,2740.98,2.01178,2.07248,0.01079,0.40518,0.29834,0.25626,0.10556,2.13682,2.29126,0.01278,0.001067,0.001067,0.001067
12,2849.1,2.03346,2.00753,0.01051,0.43023,0.33552,0.29798,0.11916,2.10642,2.25989,0.01253,0.0010626,0.0010626,0.0010626
13,3476.05,1.98555,1.95687,0.01115,0.38763,0.3404,0.27656,0.11788,2.07059,2.34069,0.01229,0.00105821,0.00105821,0.00105821
14,3585.41,2.00121,1.9091,0.01091,0.42728,0.34075,0.3036,0.12828,2.09907,2.35322,0.01278,0.00105381,0.00105381,0.00105381
15,3881.65,1.96027,1.85963,0.0111,0.41519,0.34954,0.29407,0.12086,2.07732,2.18647,0.0122,0.00104941,0.00104941,0.00104941
