epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,181.752,2.19177,3.70248,1.95542,0.14171,0.09164,0.05123,0.02266,2.16859,3.03785,1.89869,0.00110469,0.000368229,0.00110469,0.000368229,0.00110469,0.000368229,0.00110469,0.000368229
2,997.563,1.99544,2.64322,1.77515,0.27831,0.20214,0.15409,0.07053,1.98264,2.39851,1.70203,0.00220691,0.000735638,0.00220691,0.000735638,0.00220691,0.000735638,0.00220691,0.000735638
3,1170.19,1.87779,2.29287,1.65913,0.38349,0.26326,0.23495,0.10628,1.94432,2.20472,1.64456,0.00330034,0.00110011,0.00330034,0.00110011,0.00330034,0.00110011,0.00330034,0.00110011
4,1687.34,1.8106,2.0122,1.56092,0.40829,0.31229,0.28959,0.12999,1.92905,2.05389,1.60819,0.0032934,0.0010978,0.0032934,0.0010978,0.0032934,0.0010978,0.0032934,0.0010978
5,2094.44,1.74618,1.78976,1.4986,0.46977,0.35106,0.32585,0.14618,1.893,1.98773,1.5611,0.00328021,0.0010934,0.00328021,0.0010934,0.00328021,0.0010934,0.00328021,0.0010934
6,2507.85,1.74865,1.65983,1.49054,0.47848,0.3687,0.34858,0.16013,1.87283,1.90681,1.56805,0.00326701,0.001089,0.00326701,0.001089,0.00326701,0.001089,0.00326701,0.001089
7,2927.51,1.69957,1.54799,1.45871,0.45845,0.40346,0.36503,0.1635,1.91923,1.83415,1.55618,0.00325381,0.0010846,0.00325381,0.0010846,0.00325381,0.0010846,0.00325381,0.0010846
8,3451.23,1.6797,1.42984,1.41158,0.53646,0.36434,0.35324,0.15836,1.88579,1.84896,1.54016,0.00324061,0.0010802,0.00324061,0.0010802,0.00324061,0.0010802,0.00324061,0.0010802
9,4254.8,1.66421,1.35969,1.39163,0.54514,0.38145,0.37751,0.17577,1.88164,1.79109,1.54381,0.00322741,0.0010758,0.00322741,0.0010758,0.00322741,0.0010758,0.00322741,0.0010758
10,4778.07,1.60426,1.28949,1.37969,0.49923,0.42694,0.38853,0.1766,1.8875,1.76479,1.53828,0.00321421,0.0010714,0.00321421,0.0010714,0.00321421,0.0010714,0.00321421,0.0010714
11,5278.7,1.5803,1.21397,1.34738,0.53329,0.43739,0.38624,0.17195,1.87693,1.74214,1.53099,0.00320101,0.001067,0.00320101,0.001067,0.00320101,0.001067,0.00320101,0.001067
12,6232.2,1.57956,1.18073,1.3634,0.5447,0.42172,0.40591,0.18322,1.90661,1.73235,1.53981,0.00318781,0.0010626,0.00318781,0.0010626,0.00318781,0.0010626,0.00318781,0.0010626
13,6944.3,1.54797,1.14847,1.34594,0.54351,0.44752,0.41519,0.18721,1.89334,1.70245,1.5388,0.00317462,0.00105821,0.00317462,0.00105821,0.00317462,0.00105821,0.00317462,0.00105821
14,7867.54,1.53891,1.11254,1.32693,0.5284,0.43572,0.4011,0.18342,1.91747,1.76314,1.56024,0.00316142,0.00105381,0.00316142,0.00105381,0.00316142,0.00105381,0.00316142,0.00105381
15,8585.66,1.51802,1.06163,1.31623,0.58034,0.40755,0.41798,0.19276,1.89032,1.73029,1.54134,0.00314822,0.00104941,0.00314822,0.00104941,0.00314822,0.00104941,0.00314822,0.00104941
16,9089.31,1.48979,1.02874,1.29284,0.56956,0.42979,0.41208,0.19157,1.88375,1.70391,1.53148,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501
17,9587.85,1.49641,1.00148,1.28042,0.5565,0.44414,0.42903,0.20029,1.89289,1.70295,1.5469,0.00312182,0.00104061,0.00312182,0.00104061,0.00312182,0.00104061,0.00312182,0.00104061
18,10292.9,1.46708,0.98311,1.27093,0.58727,0.43171,0.41904,0.19393,1.92362,1.76124,1.57703,0.00310862,0.00103621,0.00310862,0.00103621,0.00310862,0.00103621,0.00310862,0.00103621
19,10740.3,1.46375,0.95193,1.2606,0.59347,0.41853,0.42867,0.19814,1.87954,1.68897,1.53992,0.00309542,0.00103181,0.00309542,0.00103181,0.00309542,0.00103181,0.00309542,0.00103181
20,11212.8,1.43484,0.91962,1.25295,0.58122,0.4443,0.42999,0.20247,1.89065,1.70712,1.54439,0.00308223,0.00102741,0.00308223,0.00102741,0.00308223,0.00102741,0.00308223,0.00102741
