epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,110.002,2.21453,3.98757,1.90477,0.00974,0.16316,0.00942,0.00402,2.15305,3.98266,1.8268,0.00110469,0.000368229,0.00110469,0.000368229,0.00110469,0.000368229,0.00110469,0.000368229
2,177.357,2.05656,3.85814,1.72428,0.01854,0.24004,0.02492,0.01165,2.04971,3.66585,1.61862,0.00220691,0.000735638,0.00220691,0.000735638,0.00220691,0.000735638,0.00220691,0.000735638
3,238.219,2.0173,3.5086,1.65235,0.53841,0.08256,0.04558,0.01939,2.10565,3.14213,1.6401,0.00330034,0.00110011,0.00330034,0.00110011,0.00330034,0.00110011,0.00330034,0.00110011
4,297.454,2.02011,2.99973,1.62036,0.39206,0.1221,0.07225,0.03079,2.06164,2.74634,1.62284,0.0032934,0.0010978,0.0032934,0.0010978,0.0032934,0.0010978,0.0032934,0.0010978
5,355.93,1.95473,2.71334,1.60143,0.35971,0.20244,0.10929,0.04416,2.01343,2.6014,1.58863,0.00328021,0.0010934,0.00328021,0.0010934,0.00328021,0.0010934,0.00328021,0.0010934
6,414.192,1.95751,2.54614,1.60717,0.28688,0.20644,0.13979,0.05907,2.00211,2.48203,1.59322,0.00326701,0.001089,0.00326701,0.001089,0.00326701,0.001089,0.00326701,0.001089
7,501.56,1.90887,2.45375,1.5892,0.27549,0.22382,0.16685,0.07052,1.98909,2.3891,1.58962,0.00325381,0.0010846,0.00325381,0.0010846,0.00325381,0.0010846,0.00325381,0.0010846
8,557.349,1.91109,2.3164,1.54752,0.27773,0.24758,0.18108,0.07722,1.99709,2.37192,1.56692,0.00324061,0.0010802,0.00324061,0.0010802,0.00324061,0.0010802,0.00324061,0.0010802
9,613.887,1.91689,2.26992,1.5351,0.31418,0.2578,0.2028,0.08883,1.96755,2.29403,1.57552,0.00322741,0.0010758,0.00322741,0.0010758,0.00322741,0.0010758,0.00322741,0.0010758
10,669.486,1.84871,2.23524,1.53229,0.3396,0.25608,0.19679,0.08684,1.97882,2.30472,1.55798,0.00321421,0.0010714,0.00321421,0.0010714,0.00321421,0.0010714,0.00321421,0.0010714
11,725.659,1.84714,2.16162,1.50645,0.34996,0.26895,0.22723,0.10363,1.96381,2.2182,1.54958,0.00320101,0.001067,0.00320101,0.001067,0.00320101,0.001067,0.00320101,0.001067
12,782.584,1.85262,2.12411,1.52176,0.36721,0.25641,0.21868,0.09558,1.96586,2.32296,1.53465,0.00318781,0.0010626,0.00318781,0.0010626,0.00318781,0.0010626,0.00318781,0.0010626
13,838.378,1.82773,2.12808,1.5066,0.37714,0.27062,0.232,0.10363,1.96287,2.20975,1.52578,0.00317462,0.00105821,0.00317462,0.00105821,0.00317462,0.00105821,0.00317462,0.00105821
14,897.356,1.84065,2.0799,1.50058,0.36221,0.28831,0.2412,0.10923,1.9762,2.22743,1.54406,0.00316142,0.00105381,0.00316142,0.00105381,0.00316142,0.00105381,0.00316142,0.00105381
15,954.2,1.81735,2.0254,1.48829,0.39464,0.28162,0.2524,0.11465,1.93782,2.17531,1.51878,0.00314822,0.00104941,0.00314822,0.00104941,0.00314822,0.00104941,0.00314822,0.00104941
16,1010.02,1.80238,1.99251,1.4756,0.38318,0.29972,0.25655,0.11818,1.95611,2.18143,1.5482,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501
17,1067.24,1.82581,1.93872,1.46724,0.39408,0.30706,0.25254,0.11245,1.97523,2.13036,1.54705,0.00312182,0.00104061,0.00312182,0.00104061,0.00312182,0.00104061,0.00312182,0.00104061
18,1123.5,1.80266,1.93923,1.46331,0.38287,0.30298,0.25475,0.11333,2.00675,2.15247,1.56722,0.00310862,0.00103621,0.00310862,0.00103621,0.00310862,0.00103621,0.00310862,0.00103621
19,1179.44,1.79874,1.88827,1.44978,0.41496,0.3109,0.28482,0.12883,1.95733,2.0877,1.53182,0.00309542,0.00103181,0.00309542,0.00103181,0.00309542,0.00103181,0.00309542,0.00103181
20,1234.94,1.7832,1.85138,1.4477,0.40894,0.31979,0.27249,0.12554,1.94968,2.10805,1.53506,0.00308223,0.00102741,0.00308223,0.00102741,0.00308223,0.00102741,0.00308223,0.00102741
21,1290.56,1.77813,1.84105,1.44515,0.38873,0.32007,0.28221,0.12827,1.98924,2.11526,1.53108,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301
22,1346.14,1.75559,1.81258,1.44794,0.43003,0.31412,0.2928,0.13184,1.96367,2.10851,1.52956,0.00305583,0.00101861,0.00305583,0.00101861,0.00305583,0.00101861,0.00305583,0.00101861
23,1401.57,1.75613,1.8001,1.438,0.43028,0.31624,0.27327,0.12258,1.94582,2.10577,1.51138,0.00304263,0.00101421,0.00304263,0.00101421,0.00304263,0.00101421,0.00304263,0.00101421
24,1457.25,1.74375,1.7809,1.43295,0.46157,0.31392,0.29465,0.13394,1.95353,2.07528,1.52309,0.00302943,0.00100981,0.00302943,0.00100981,0.00302943,0.00100981,0.00302943,0.00100981
25,1514.16,1.76708,1.78636,1.42981,0.42761,0.3296,0.27489,0.12103,1.96587,2.11187,1.53406,0.00301623,0.00100541,0.00301623,0.00100541,0.00301623,0.00100541,0.00301623,0.00100541
26,1570.14,1.75459,1.7528,1.42502,0.44035,0.31432,0.27896,0.12219,1.95715,2.06562,1.50977,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101
27,1625.77,1.73384,1.72041,1.41815,0.45841,0.31455,0.29618,0.13482,1.98023,2.07777,1.53037,0.00298983,0.000996611,0.00298983,0.000996611,0.00298983,0.000996611,0.00298983,0.000996611
28,1681.87,1.7489,1.74277,1.41801,0.46875,0.33435,0.29971,0.1346,1.96857,2.09813,1.53831,0.00297664,0.000992212,0.00297664,0.000992212,0.00297664,0.000992212,0.00297664,0.000992212
29,1738.69,1.76495,1.73116,1.4173,0.42727,0.34418,0.3082,0.14098,1.96707,2.06904,1.53044,0.00296344,0.000987812,0.00296344,0.000987812,0.00296344,0.000987812,0.00296344,0.000987812
30,1794.37,1.74543,1.69261,1.41185,0.44136,0.33853,0.3069,0.1376,1.97815,2.08419,1.54124,0.00295024,0.000983413,0.00295024,0.000983413,0.00295024,0.000983413,0.00295024,0.000983413
31,1849.71,1.71727,1.66132,1.40136,0.4599,0.33717,0.3186,0.14452,1.98333,2.08048,1.53756,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
32,1905.2,1.71049,1.67475,1.39406,0.47799,0.32411,0.3172,0.14478,1.96469,2.03987,1.53125,0.00292384,0.000974614,0.00292384,0.000974614,0.00292384,0.000974614,0.00292384,0.000974614
33,1960.61,1.72199,1.63547,1.39345,0.43476,0.34355,0.30474,0.13681,1.9659,2.02336,1.53059,0.00291064,0.000970214,0.00291064,0.000970214,0.00291064,0.000970214,0.00291064,0.000970214
34,2016.03,1.72388,1.65586,1.41004,0.42856,0.34576,0.30746,0.13581,1.96099,2.06982,1.52581,0.00289744,0.000965815,0.00289744,0.000965815,0.00289744,0.000965815,0.00289744,0.000965815
35,2071.9,1.70072,1.59897,1.37976,0.45165,0.33489,0.30503,0.13435,1.98104,2.04035,1.52598,0.00288424,0.000961415,0.00288424,0.000961415,0.00288424,0.000961415,0.00288424,0.000961415
36,2127.55,1.69828,1.60516,1.37657,0.47664,0.33494,0.31696,0.14271,1.96004,2.04286,1.52202,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
37,2182.79,1.69037,1.58194,1.38136,0.48112,0.32621,0.31371,0.14069,1.97627,2.02939,1.52301,0.00285785,0.000952616,0.00285785,0.000952616,0.00285785,0.000952616,0.00285785,0.000952616
38,2252.31,1.68539,1.56407,1.36949,0.45672,0.35662,0.31382,0.13824,1.95612,1.9994,1.51366,0.00284465,0.000948216,0.00284465,0.000948216,0.00284465,0.000948216,0.00284465,0.000948216
39,2308,1.68265,1.55716,1.3781,0.46534,0.32822,0.30959,0.13842,1.95557,2.05354,1.52703,0.00283145,0.000943817,0.00283145,0.000943817,0.00283145,0.000943817,0.00283145,0.000943817
40,2364.03,1.7022,1.56316,1.37255,0.44708,0.35619,0.31385,0.13948,1.95837,1.98531,1.50912,0.00281825,0.000939417,0.00281825,0.000939417,0.00281825,0.000939417,0.00281825,0.000939417
41,2419.52,1.67231,1.52218,1.3531,0.44093,0.37539,0.32017,0.14078,1.95638,1.9709,1.50631,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
42,2475.38,1.67788,1.51978,1.37233,0.43971,0.35093,0.31154,0.13839,1.95087,2.00542,1.51765,0.00279185,0.000930618,0.00279185,0.000930618,0.00279185,0.000930618,0.00279185,0.000930618
43,2530.96,1.67236,1.52964,1.36374,0.45129,0.34702,0.31119,0.14102,1.95711,1.99674,1.50638,0.00277866,0.000926218,0.00277866,0.000926218,0.00277866,0.000926218,0.00277866,0.000926218
44,2586.41,1.67526,1.52011,1.36023,0.42651,0.35706,0.31348,0.14103,1.95467,1.97996,1.49847,0.00276546,0.000921819,0.00276546,0.000921819,0.00276546,0.000921819,0.00276546,0.000921819
45,2641.79,1.66321,1.50712,1.35105,0.44062,0.36255,0.32714,0.15163,1.95162,2.0219,1.514,0.00275226,0.000917419,0.00275226,0.000917419,0.00275226,0.000917419,0.00275226,0.000917419
46,2697.16,1.65207,1.48781,1.34556,0.45718,0.35011,0.32416,0.14628,1.96749,2.01058,1.51879,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302
47,2752.75,1.67822,1.50021,1.35242,0.4409,0.36145,0.31862,0.14447,1.94902,1.9943,1.50612,0.00272586,0.00090862,0.00272586,0.00090862,0.00272586,0.00090862,0.00272586,0.00090862
48,2808.62,1.6661,1.45244,1.34459,0.46554,0.34966,0.32801,0.14915,1.95877,1.9849,1.505,0.00271266,0.000904221,0.00271266,0.000904221,0.00271266,0.000904221,0.00271266,0.000904221
49,2863.77,1.65731,1.45491,1.35144,0.46255,0.36164,0.33962,0.15388,1.94987,1.96311,1.5022,0.00269946,0.000899821,0.00269946,0.000899821,0.00269946,0.000899821,0.00269946,0.000899821
50,2918.95,1.64863,1.44109,1.33499,0.4942,0.33783,0.33476,0.14925,1.96174,1.97888,1.5187,0.00268626,0.000895422,0.00268626,0.000895422,0.00268626,0.000895422,0.00268626,0.000895422
51,2974.19,1.63555,1.44711,1.33502,0.46064,0.37664,0.33237,0.14799,1.95973,1.97209,1.50916,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
52,3029.35,1.63917,1.44982,1.3393,0.43316,0.36936,0.32251,0.14196,1.96335,1.9751,1.51527,0.00265987,0.000886622,0.00265987,0.000886622,0.00265987,0.000886622,0.00265987,0.000886622
53,3084.14,1.61191,1.45017,1.33865,0.45341,0.36457,0.32494,0.14795,1.95532,1.98299,1.51882,0.00264667,0.000882223,0.00264667,0.000882223,0.00264667,0.000882223,0.00264667,0.000882223
54,3140.61,1.64503,1.41326,1.33103,0.47267,0.3684,0.33575,0.14974,1.95708,1.9513,1.50832,0.00263347,0.000877823,0.00263347,0.000877823,0.00263347,0.000877823,0.00263347,0.000877823
55,3195.25,1.61963,1.43587,1.33724,0.48615,0.36255,0.33948,0.14941,1.97843,1.94755,1.51828,0.00262027,0.000873424,0.00262027,0.000873424,0.00262027,0.000873424,0.00262027,0.000873424
56,3250.26,1.62428,1.4149,1.33317,0.43812,0.37333,0.31861,0.14232,1.97629,1.97609,1.51684,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024
57,3306.66,1.62416,1.37751,1.31932,0.4802,0.35948,0.32099,0.14155,1.9771,1.98891,1.5277,0.00259387,0.000864625,0.00259387,0.000864625,0.00259387,0.000864625,0.00259387,0.000864625
58,3361.82,1.62941,1.38397,1.32264,0.46091,0.36143,0.32878,0.14299,1.96871,1.93344,1.51417,0.00258068,0.000860225,0.00258068,0.000860225,0.00258068,0.000860225,0.00258068,0.000860225
59,3417.35,1.61017,1.39529,1.32276,0.48014,0.36534,0.34223,0.15151,1.97095,1.93067,1.5244,0.00256748,0.000855826,0.00256748,0.000855826,0.00256748,0.000855826,0.00256748,0.000855826
60,3472.59,1.6095,1.39003,1.31904,0.49337,0.36014,0.34027,0.15296,1.97986,1.91543,1.52678,0.00255428,0.000851426,0.00255428,0.000851426,0.00255428,0.000851426,0.00255428,0.000851426
61,3528.04,1.61036,1.35606,1.30643,0.49611,0.34861,0.34258,0.1536,1.96327,1.93896,1.51658,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026
62,3583.34,1.58758,1.36162,1.30507,0.48081,0.35609,0.33524,0.15099,1.96706,1.95116,1.52294,0.00252788,0.000842627,0.00252788,0.000842627,0.00252788,0.000842627,0.00252788,0.000842627
63,3638.88,1.61157,1.35968,1.31286,0.49109,0.38,0.36658,0.16563,1.9557,1.91377,1.49941,0.00251468,0.000838227,0.00251468,0.000838227,0.00251468,0.000838227,0.00251468,0.000838227
64,3694.3,1.60744,1.36221,1.31149,0.4953,0.37838,0.35972,0.16197,1.95775,1.91943,1.51821,0.00250148,0.000833828,0.00250148,0.000833828,0.00250148,0.000833828,0.00250148,0.000833828
65,3846.92,1.59799,1.36176,1.32393,0.50933,0.36471,0.35639,0.1626,1.96659,1.93267,1.51475,0.00248828,0.000829428,0.00248828,0.000829428,0.00248828,0.000829428,0.00248828,0.000829428
66,3902,1.61086,1.34036,1.30721,0.47266,0.36623,0.33239,0.15195,1.96563,1.95833,1.52576,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029
