epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,93.4519,2.29506,3.95409,1.97839,0.06489,0.07427,0.02401,0.00979,2.23308,3.4014,1.92453,0.00110469,0.000368229,0.00110469,0.000368229,0.00110469,0.000368229,0.00110469,0.000368229
2,183.741,2.08243,2.87637,1.79009,0.20249,0.16522,0.09778,0.04259,2.06284,2.57704,1.69254,0.00220691,0.000735638,0.00220691,0.000735638,0.00220691,0.000735638,0.00220691,0.000735638
3,269.295,1.96747,2.48786,1.66812,0.30303,0.21996,0.16915,0.07572,2.03394,2.37686,1.63838,0.00330034,0.00110011,0.00330034,0.00110011,0.00330034,0.00110011,0.00330034,0.00110011
4,354.265,1.89804,2.21169,1.56954,0.37878,0.2682,0.2331,0.10369,1.9803,2.15712,1.57283,0.0032934,0.0010978,0.0032934,0.0010978,0.0032934,0.0010978,0.0032934,0.0010978
5,438.954,1.83848,2.01353,1.51386,0.36148,0.31989,0.25839,0.11426,1.95796,2.12511,1.53942,0.00328021,0.0010934,0.00328021,0.0010934,0.00328021,0.0010934,0.00328021,0.0010934
6,523.776,1.83853,1.90186,1.51206,0.41081,0.315,0.28426,0.128,1.9261,2.01123,1.53278,0.00326701,0.001089,0.00326701,0.001089,0.00326701,0.001089,0.00326701,0.001089
7,608.723,1.79835,1.81839,1.49297,0.46164,0.32556,0.30487,0.13718,1.92042,1.9372,1.51296,0.00325381,0.0010846,0.00325381,0.0010846,0.00325381,0.0010846,0.00325381,0.0010846
8,693.739,1.78801,1.69968,1.44622,0.43386,0.31818,0.29072,0.12733,1.94732,1.97231,1.51952,0.00324061,0.0010802,0.00324061,0.0010802,0.00324061,0.0010802,0.00324061,0.0010802
9,779.484,1.78231,1.63335,1.42859,0.4642,0.36796,0.32134,0.14533,1.92333,1.93178,1.50912,0.00322741,0.0010758,0.00322741,0.0010758,0.00322741,0.0010758,0.00322741,0.0010758
10,864.447,1.72391,1.56204,1.4243,0.43424,0.37294,0.31647,0.14183,1.92554,1.91654,1.50689,0.00321421,0.0010714,0.00321421,0.0010714,0.00321421,0.0010714,0.00321421,0.0010714
