epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.989,2.06717,2.70469,1.75499,0.17965,0.14585,0.06448,0.02558,2.29744,3.39181,2.03357,0.000368229,0.000368229,0.000368229
2,467.362,2.05193,2.4545,1.76259,0.17555,0.13408,0.07017,0.02822,2.30926,2.83548,1.96762,0.000735638,0.000735638,0.000735638
3,836.686,2.0674,2.53937,1.80265,0.16242,0.15089,0.08707,0.03318,2.26591,2.6014,1.8499,0.00110011,0.00110011,0.00110011
4,1507.7,2.07573,2.47061,1.79398,0.40502,0.16814,0.12419,0.04634,2.20087,2.89983,1.90442,0.0010978,0.0010978,0.0010978
5,2343.72,2.03233,2.3243,1.747,0.31092,0.16256,0.12783,0.04965,2.28755,2.56738,1.95361,0.0010934,0.0010934,0.0010934
6,3049.99,1.99334,2.24539,1.7044,0.27089,0.23715,0.15962,0.06312,2.13444,2.36114,1.81545,0.001089,0.001089,0.001089
7,3387.65,1.96294,2.19441,1.71116,0.28874,0.25829,0.19427,0.07546,2.12184,2.26077,1.81868,0.0010846,0.0010846,0.0010846
8,4019.69,1.93615,2.0961,1.69639,0.27864,0.23387,0.17081,0.07087,2.08625,2.20413,1.80888,0.0010802,0.0010802,0.0010802
9,4383.96,1.90854,2.03704,1.6588,0.33264,0.26641,0.22952,0.09269,2.02844,2.20228,1.76927,0.0010758,0.0010758,0.0010758
10,4757.41,1.8953,1.99267,1.65343,0.35745,0.27211,0.22803,0.09529,2.03481,2.13556,1.7333,0.0010714,0.0010714,0.0010714
11,5464.99,1.8634,1.94848,1.62522,0.35862,0.28497,0.24267,0.10257,2.04989,2.0579,1.76233,0.001067,0.001067,0.001067
12,5999.09,1.86338,1.84053,1.60676,0.3651,0.30952,0.25537,0.10973,2.02214,2.07265,1.73924,0.0010626,0.0010626,0.0010626
13,6729,1.82159,1.81295,1.60513,0.37744,0.32052,0.27445,0.11838,2.0062,2.04972,1.72385,0.00105821,0.00105821,0.00105821
14,7516.75,1.83949,1.82216,1.62121,0.3237,0.2987,0.25273,0.10635,2.0352,2.15555,1.75643,0.00105381,0.00105381,0.00105381
15,8186.78,1.7946,1.73393,1.58992,0.37596,0.31011,0.26461,0.11722,1.9904,2.015,1.74273,0.00104941,0.00104941,0.00104941
16,8573.44,1.79015,1.72816,1.59434,0.40829,0.35491,0.30022,0.12915,1.99691,1.9416,1.74852,0.00104501,0.00104501,0.00104501
17,9072.82,1.7743,1.61705,1.55489,0.49929,0.357,0.34536,0.14241,2.03342,1.89026,1.78329,0.00104061,0.00104061,0.00104061
18,9377.19,1.74204,1.59536,1.54119,0.40415,0.33912,0.3103,0.13429,1.9821,1.90856,1.70919,0.00103621,0.00103621,0.00103621
19,9713.3,1.7425,1.59037,1.53728,0.43947,0.35249,0.31352,0.13678,1.99781,1.94121,1.74179,0.00103181,0.00103181,0.00103181
20,10280.9,1.7377,1.53896,1.52402,0.48288,0.34888,0.32257,0.14014,2.00197,1.85495,1.73539,0.00102741,0.00102741,0.00102741
21,10738.6,1.7039,1.54697,1.53277,0.47493,0.36704,0.32425,0.14449,2.00972,1.84662,1.73496,0.00102301,0.00102301,0.00102301
22,11189.7,1.69713,1.46443,1.50076,0.47116,0.37721,0.34372,0.14974,1.97497,1.85018,1.73144,0.00101861,0.00101861,0.00101861
23,12084.6,1.68978,1.42681,1.50319,0.53101,0.37758,0.3613,0.1591,1.9757,1.77658,1.73024,0.00101421,0.00101421,0.00101421
24,12680.8,1.6721,1.37615,1.4744,0.51166,0.37109,0.35178,0.1573,1.98221,1.85752,1.72146,0.00100981,0.00100981,0.00100981
25,13564.7,1.67636,1.40004,1.49802,0.5086,0.36914,0.33797,0.14988,1.98161,1.89049,1.71566,0.00100541,0.00100541,0.00100541
26,13931.1,1.65732,1.38264,1.48858,0.52031,0.3663,0.35183,0.15129,2.02768,1.89977,1.7721,0.00100101,0.00100101,0.00100101
27,14292.8,1.63599,1.35741,1.47341,0.47156,0.36993,0.3329,0.14828,1.97931,1.82908,1.73018,0.000996611,0.000996611,0.000996611
28,14771.2,1.62082,1.3099,1.45484,0.52349,0.38225,0.35954,0.16031,1.96625,1.78225,1.73095,0.000992212,0.000992212,0.000992212
29,15171.2,1.61903,1.31228,1.44965,0.49207,0.39704,0.34518,0.15515,1.94897,1.83596,1.71036,0.000987812,0.000987812,0.000987812
30,15581.1,1.60813,1.28489,1.46056,0.47145,0.38893,0.36235,0.15968,2.00097,1.84617,1.73264,0.000983413,0.000983413,0.000983413
31,16272.7,1.59747,1.25796,1.44441,0.55153,0.3596,0.3592,0.15501,1.97013,1.87639,1.70938,0.000979013,0.000979013,0.000979013
32,16951,1.58257,1.23849,1.44722,0.50071,0.40048,0.35941,0.16042,1.95241,1.74808,1.71355,0.000974614,0.000974614,0.000974614
33,17465.6,1.56181,1.1992,1.42371,0.50171,0.41981,0.37783,0.16445,1.96983,1.74681,1.71935,0.000970214,0.000970214,0.000970214
34,18157.3,1.55742,1.16237,1.40761,0.52405,0.39443,0.37384,0.16793,2.0047,1.77102,1.74235,0.000965815,0.000965815,0.000965815
35,18643.9,1.55135,1.16845,1.41401,0.52516,0.37982,0.37562,0.17034,1.9771,1.75817,1.7302,0.000961415,0.000961415,0.000961415
36,19078.2,1.51247,1.13499,1.39869,0.5517,0.40609,0.38137,0.16853,1.96107,1.79854,1.73714,0.000957015,0.000957015,0.000957015
37,19582.7,1.52977,1.1188,1.40132,0.48364,0.37554,0.33692,0.14533,1.98672,1.8533,1.72684,0.000952616,0.000952616,0.000952616
38,19905.7,1.51881,1.11143,1.40569,0.53589,0.4119,0.38453,0.16805,1.99889,1.73185,1.74301,0.000948216,0.000948216,0.000948216
39,20505,1.52869,1.11174,1.3859,0.53716,0.38941,0.35819,0.15841,1.98404,1.80586,1.73144,0.000943817,0.000943817,0.000943817
40,21156.2,1.50722,1.0692,1.38313,0.50411,0.40887,0.37648,0.16833,1.96549,1.84699,1.73722,0.000939417,0.000939417,0.000939417
41,21675,1.48689,1.09178,1.38596,0.56301,0.37507,0.3722,0.16911,1.98009,1.79376,1.72055,0.000935018,0.000935018,0.000935018
42,21997.8,1.50761,1.07009,1.38249,0.56218,0.41398,0.40891,0.18101,1.95946,1.76784,1.71734,0.000930618,0.000930618,0.000930618
43,22463.1,1.4692,1.03977,1.35822,0.49985,0.40705,0.3705,0.16554,1.97203,1.83057,1.74928,0.000926218,0.000926218,0.000926218
44,22844.5,1.46817,1.01837,1.35773,0.52942,0.41074,0.39214,0.17737,1.97608,1.78871,1.72986,0.000921819,0.000921819,0.000921819
45,23216.9,1.4694,1.00933,1.34048,0.53483,0.43814,0.39282,0.1753,2.00576,1.84522,1.76692,0.000917419,0.000917419,0.000917419
46,240.721,1.51848,1.1091,1.43518,0.53282,0.40145,0.37493,0.16307,2.01983,1.93782,1.84636,0.00091302,0.00091302,0.00091302
47,548.873,1.46619,1.01287,1.38918,0.49247,0.42128,0.37054,0.16519,1.98333,1.83988,1.81381,0.00090862,0.00090862,0.00090862
48,1230.24,1.43483,1.01829,1.39875,0.57884,0.39723,0.39261,0.17255,1.99354,1.75484,1.80711,0.000904221,0.000904221,0.000904221
49,1850.26,1.44274,1.00127,1.37604,0.54428,0.40581,0.38143,0.16802,2.00522,1.82586,1.81926,0.000899821,0.000899821,0.000899821
50,2172.85,1.43901,0.96473,1.34911,0.54129,0.41501,0.38166,0.16543,1.99275,1.85485,1.79169,0.000895422,0.000895422,0.000895422
51,2820.36,1.44198,0.96043,1.35114,0.56371,0.40754,0.39158,0.1733,2.00648,1.76819,1.8069,0.000891022,0.000891022,0.000891022
52,3537.79,1.42048,0.94357,1.34961,0.53721,0.41411,0.39969,0.17704,1.99351,1.8739,1.78716,0.000886622,0.000886622,0.000886622
53,4203.76,1.40637,0.93025,1.33844,0.5487,0.42462,0.39125,0.17652,1.99492,1.75709,1.78117,0.000882223,0.000882223,0.000882223
54,4646.2,1.40419,0.92677,1.32751,0.54434,0.44983,0.40555,0.1821,1.97156,1.79859,1.77941,0.000877823,0.000877823,0.000877823
55,5102.91,1.38837,0.90618,1.32007,0.54367,0.43517,0.40487,0.18158,1.98168,1.77505,1.78422,0.000873424,0.000873424,0.000873424
56,5765.47,1.38855,0.91039,1.31235,0.58393,0.42558,0.41934,0.18785,1.98168,1.8108,1.79767,0.000869024,0.000869024,0.000869024
57,6435.67,1.37303,0.87703,1.29523,0.5653,0.41039,0.40666,0.18433,2.00531,1.78734,1.79926,0.000864625,0.000864625,0.000864625
58,7242.29,1.35807,0.86935,1.31004,0.53961,0.44316,0.40949,0.18503,2.02405,1.71275,1.82647,0.000860225,0.000860225,0.000860225
59,7986.26,1.37557,0.88112,1.31479,0.60943,0.42066,0.41814,0.18886,1.99396,1.79837,1.79668,0.000855826,0.000855826,0.000855826
60,8535.71,1.35328,0.86436,1.30401,0.54701,0.42251,0.40161,0.18553,2.00817,1.77832,1.8072,0.000851426,0.000851426,0.000851426
61,8954.28,1.34806,0.8521,1.29429,0.52222,0.46263,0.42593,0.19435,1.97446,1.78341,1.78663,0.000847026,0.000847026,0.000847026
62,9460.01,1.34646,0.82659,1.27526,0.56201,0.43567,0.41273,0.18819,1.99244,1.82423,1.80228,0.000842627,0.000842627,0.000842627
