epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.6825,2.15763,3.20498,1.74737,0.10608,0.14774,0.06622,0.0249,2.18243,2.96576,1.76409,0.000368229,0.000368229,0.000368229
2,114.601,2.06242,2.59274,1.69641,0.16281,0.15338,0.08957,0.03584,2.24608,2.75995,1.81051,0.000735638,0.000735638,0.000735638
3,171.845,2.0298,2.53101,1.69782,0.19636,0.19918,0.12131,0.04813,2.19189,2.58427,1.69095,0.00110011,0.00110011,0.00110011
4,227.713,2.05292,2.47454,1.68984,0.19689,0.17049,0.12404,0.04913,2.13891,2.55765,1.76819,0.0010978,0.0010978,0.0010978
5,284.153,2.01456,2.37623,1.64884,0.42035,0.16831,0.12935,0.0499,2.12381,2.61037,1.65612,0.0010934,0.0010934,0.0010934
6,340.905,1.996,2.31157,1.6323,0.26103,0.23571,0.1518,0.06071,2.06555,2.42426,1.65932,0.001089,0.001089,0.001089
7,397.049,1.98575,2.26296,1.63393,0.28991,0.1826,0.14752,0.0575,2.18142,2.39964,1.71929,0.0010846,0.0010846,0.0010846
8,452.779,1.97218,2.19134,1.62124,0.32138,0.24917,0.19161,0.08064,2.09337,2.25087,1.70213,0.0010802,0.0010802,0.0010802
9,508.923,1.93952,2.13371,1.60078,0.29005,0.23984,0.16305,0.06766,2.08171,2.238,1.68885,0.0010758,0.0010758,0.0010758
10,565.396,1.93253,2.11664,1.5885,0.31202,0.26719,0.20752,0.08866,2.05661,2.24786,1.65159,0.0010714,0.0010714,0.0010714
11,621.426,1.90835,2.07071,1.57751,0.36714,0.23357,0.2099,0.08408,2.0867,2.23089,1.66544,0.001067,0.001067,0.001067
12,677.648,1.92136,1.98257,1.55542,0.31504,0.26789,0.20918,0.0853,2.14826,2.33215,1.68361,0.0010626,0.0010626,0.0010626
13,733.939,1.88452,1.9714,1.5621,0.34137,0.30799,0.24096,0.10024,2.05929,2.2255,1.64022,0.00105821,0.00105821,0.00105821
14,789.875,1.8967,1.97673,1.56705,0.36802,0.28572,0.24971,0.10393,2.06344,2.16621,1.6367,0.00105381,0.00105381,0.00105381
15,866.914,1.87615,1.92529,1.55369,0.41275,0.28309,0.2612,0.10609,2.0526,2.10202,1.65159,0.00104941,0.00104941,0.00104941
16,922.628,1.85682,1.87355,1.5421,0.44922,0.30028,0.27001,0.11609,2.03098,2.12812,1.63119,0.00104501,0.00104501,0.00104501
17,978.453,1.86171,1.81054,1.51142,0.4249,0.31871,0.29216,0.12044,2.04353,2.08642,1.6376,0.00104061,0.00104061,0.00104061
18,1034.22,1.83377,1.81562,1.51154,0.38637,0.32598,0.28346,0.12031,2.00569,2.04252,1.61162,0.00103621,0.00103621,0.00103621
19,1090.24,1.82444,1.76016,1.50845,0.43097,0.29447,0.26529,0.10966,2.06069,2.17081,1.65614,0.00103181,0.00103181,0.00103181
20,1146.14,1.8383,1.74063,1.4969,0.48595,0.29816,0.29342,0.12562,2.01112,2.01542,1.59045,0.00102741,0.00102741,0.00102741
21,1201.48,1.80168,1.74139,1.5061,0.41431,0.31342,0.27483,0.1186,2.01656,2.03282,1.61856,0.00102301,0.00102301,0.00102301
22,1257.2,1.79726,1.69652,1.47965,0.44892,0.34593,0.31655,0.13716,1.99075,2.03288,1.61946,0.00101861,0.00101861,0.00101861
23,1313.25,1.80477,1.66199,1.48211,0.46197,0.32789,0.30529,0.13349,2.04201,1.99303,1.633,0.00101421,0.00101421,0.00101421
24,1400.24,1.78664,1.61131,1.4567,0.45164,0.33518,0.30466,0.12779,2.01278,2.02484,1.61322,0.00100981,0.00100981,0.00100981
25,1459.1,1.79444,1.64671,1.47574,0.46517,0.31724,0.28762,0.12133,2.01579,2.13679,1.62702,0.00100541,0.00100541,0.00100541
26,1514.72,1.78132,1.62052,1.46935,0.51584,0.29222,0.29408,0.12059,2.09707,2.19577,1.67253,0.00100101,0.00100101,0.00100101
27,1570.34,1.77329,1.61312,1.46857,0.49277,0.31633,0.29599,0.12841,2.04057,2.01939,1.65411,0.000996611,0.000996611,0.000996611
28,1626,1.77491,1.58644,1.46269,0.48328,0.3363,0.30654,0.13384,2.0312,2.00019,1.61811,0.000992212,0.000992212,0.000992212
29,1681.54,1.75983,1.56785,1.44917,0.50031,0.34472,0.32181,0.13789,1.98983,1.95066,1.57571,0.000987812,0.000987812,0.000987812
30,1737.26,1.75305,1.52704,1.45905,0.49913,0.3557,0.33734,0.14792,2.0159,2.06617,1.59614,0.000983413,0.000983413,0.000983413
31,1794.26,1.74212,1.52578,1.44254,0.44493,0.34878,0.3024,0.12848,2.03326,2.06242,1.62567,0.000979013,0.000979013,0.000979013
32,1850.41,1.7261,1.50048,1.44376,0.47711,0.35876,0.33932,0.14861,1.99674,1.96845,1.59344,0.000974614,0.000974614,0.000974614
33,1924.81,1.70989,1.47604,1.42135,0.48328,0.35286,0.33076,0.13807,2.01743,1.94591,1.60127,0.000970214,0.000970214,0.000970214
34,1983.36,1.72453,1.45059,1.41824,0.4717,0.3438,0.32641,0.13843,2.01137,2.01243,1.62172,0.000965815,0.000965815,0.000965815
35,2045.3,1.70546,1.44665,1.41779,0.45806,0.3478,0.31215,0.13516,2.04856,1.99817,1.62633,0.000961415,0.000961415,0.000961415
36,2102.85,1.68331,1.44138,1.40874,0.50845,0.34802,0.34307,0.14903,2.02635,1.95196,1.62488,0.000957015,0.000957015,0.000957015
37,2158.52,1.70902,1.42212,1.4182,0.48406,0.32094,0.30621,0.13403,2.01074,1.97415,1.59765,0.000952616,0.000952616,0.000952616
38,2213.87,1.69836,1.41315,1.42107,0.52031,0.36032,0.34206,0.14571,2.0382,2.02306,1.60948,0.000948216,0.000948216,0.000948216
39,2270.02,1.69867,1.41161,1.40474,0.49246,0.349,0.3283,0.1404,2.00405,1.92613,1.6081,0.000943817,0.000943817,0.000943817
40,2325.83,1.6951,1.37354,1.39955,0.52476,0.35915,0.34902,0.14942,2.00768,1.92638,1.61206,0.000939417,0.000939417,0.000939417
41,2381.25,1.67603,1.4015,1.41693,0.49671,0.36641,0.34053,0.14266,2.02069,1.94831,1.60372,0.000935018,0.000935018,0.000935018
42,2436.83,1.69585,1.36877,1.40873,0.51862,0.35827,0.35202,0.15179,2.01254,1.94892,1.62291,0.000930618,0.000930618,0.000930618
43,2492.34,1.6663,1.3558,1.38629,0.52027,0.36858,0.34748,0.15235,1.99822,1.88091,1.60065,0.000926218,0.000926218,0.000926218
44,2547.94,1.66042,1.33633,1.38276,0.48177,0.36191,0.34011,0.14977,1.99084,1.99924,1.60183,0.000921819,0.000921819,0.000921819
45,2640.07,1.68028,1.34315,1.382,0.51454,0.34821,0.34247,0.14785,2.01543,1.94318,1.61126,0.000917419,0.000917419,0.000917419
46,2696.15,1.65864,1.29311,1.36793,0.53294,0.35363,0.33877,0.14671,2.02715,1.87383,1.63028,0.00091302,0.00091302,0.00091302
47,2751.67,1.6727,1.31497,1.38198,0.48085,0.3892,0.35634,0.1577,2.01087,1.88812,1.60788,0.00090862,0.00090862,0.00090862
48,2807.24,1.6693,1.30706,1.38009,0.51647,0.37507,0.35705,0.15827,1.99819,1.88786,1.5969,0.000904221,0.000904221,0.000904221
49,2863.3,1.65159,1.29064,1.3587,0.52925,0.36912,0.3537,0.15167,1.99015,1.91578,1.59963,0.000899821,0.000899821,0.000899821
50,2918.94,1.64652,1.26686,1.35901,0.49749,0.35807,0.34298,0.14517,2.07179,1.94399,1.64948,0.000895422,0.000895422,0.000895422
51,2974.04,1.63255,1.30148,1.38706,0.52421,0.3826,0.36378,0.16001,1.99265,1.8254,1.59031,0.000891022,0.000891022,0.000891022
52,3029.93,1.62512,1.24237,1.35496,0.51705,0.36932,0.358,0.15383,2.01679,1.90031,1.60778,0.000886622,0.000886622,0.000886622
53,3084.85,1.62131,1.2614,1.36651,0.49931,0.36503,0.34326,0.14915,2.01087,1.94403,1.61803,0.000882223,0.000882223,0.000882223
54,3140.52,1.63537,1.23422,1.35232,0.49074,0.37075,0.35838,0.16189,2.01534,1.84929,1.60566,0.000877823,0.000877823,0.000877823
55,3195.76,1.62199,1.25542,1.36175,0.54722,0.36519,0.35867,0.15978,2.01986,1.82551,1.61589,0.000873424,0.000873424,0.000873424
56,3251.25,1.62076,1.24444,1.3506,0.52543,0.37076,0.3532,0.15561,2.03971,1.8976,1.61616,0.000869024,0.000869024,0.000869024
57,3306.78,1.60862,1.22984,1.34662,0.49602,0.35531,0.33709,0.14771,2.03904,1.88918,1.63489,0.000864625,0.000864625,0.000864625
58,3362.98,1.61377,1.19766,1.32882,0.52074,0.36464,0.33804,0.15067,2.00278,1.8703,1.58835,0.000860225,0.000860225,0.000860225
59,3418.54,1.59247,1.18848,1.33257,0.51289,0.38326,0.35918,0.15616,1.98673,1.88586,1.57255,0.000855826,0.000855826,0.000855826
60,3474.13,1.61523,1.19806,1.33769,0.5204,0.38299,0.36082,0.15692,2.02664,1.86306,1.61936,0.000851426,0.000851426,0.000851426
61,3529.73,1.59534,1.18188,1.33115,0.50926,0.38061,0.36125,0.15473,2.02658,1.91791,1.61224,0.000847026,0.000847026,0.000847026
