epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.366,2.11403,2.80538,1.72262,0.16302,0.18216,0.07833,0.02932,2.23013,3.40667,1.75331,0.000368229,0.000368229,0.000368229
2,240.788,2.01428,2.4024,1.66649,0.19776,0.17563,0.10066,0.04035,2.2144,2.64013,1.8702,0.000735638,0.000735638,0.000735638
3,325.269,2.00299,2.41793,1.70407,0.26851,0.19254,0.1312,0.05306,2.16074,2.49189,1.76854,0.00110011,0.00110011,0.00110011
4,412.231,2.05694,2.34564,1.70721,0.31712,0.16461,0.13767,0.05109,2.22414,2.45207,1.82222,0.0010978,0.0010978,0.0010978
5,502.506,2.00694,2.22487,1.65422,0.26302,0.22655,0.16438,0.06712,2.14243,2.55739,1.75029,0.0010934,0.0010934,0.0010934
6,589.626,1.97979,2.16884,1.64484,0.24491,0.23012,0.16209,0.0647,2.10697,2.36171,1.72926,0.001089,0.001089,0.001089
7,682.816,1.95159,2.0897,1.62862,0.33105,0.26609,0.22113,0.08834,2.08058,2.17474,1.71013,0.0010846,0.0010846,0.0010846
8,796.439,1.91822,2.01988,1.60414,0.31454,0.26833,0.19733,0.08287,2.05591,2.13154,1.68346,0.0010802,0.0010802,0.0010802
9,900.671,1.89935,1.95173,1.58385,0.37787,0.28634,0.25169,0.10966,2.0257,2.12104,1.66361,0.0010758,0.0010758,0.0010758
10,991.524,1.87274,1.90381,1.5635,0.39122,0.30652,0.26226,0.10801,2.0358,2.03502,1.63343,0.0010714,0.0010714,0.0010714
11,1101.14,1.85356,1.86459,1.54895,0.37769,0.29831,0.24551,0.10379,2.02814,2.06754,1.66823,0.001067,0.001067,0.001067
12,1188.85,1.85619,1.77325,1.52818,0.41592,0.29644,0.27334,0.11753,2.05674,2.12449,1.6449,0.0010626,0.0010626,0.0010626
13,1290.17,1.83109,1.73852,1.53452,0.39438,0.31287,0.27573,0.11761,2.02873,2.00591,1.6288,0.00105821,0.00105821,0.00105821
14,1378.15,1.83572,1.7513,1.53544,0.4254,0.3049,0.27981,0.11938,2.02721,2.11311,1.62784,0.00105381,0.00105381,0.00105381
15,1467.39,1.80304,1.67995,1.52132,0.43364,0.34211,0.29927,0.12996,1.99948,1.98232,1.63647,0.00104941,0.00104941,0.00104941
16,1553.66,1.7883,1.65245,1.51975,0.4838,0.35544,0.33612,0.14398,1.99192,1.93581,1.62989,0.00104501,0.00104501,0.00104501
17,1641.35,1.78822,1.5869,1.47852,0.44945,0.37271,0.3368,0.14211,2.00676,1.90016,1.65912,0.00104061,0.00104061,0.00104061
18,1725.91,1.75615,1.58293,1.48124,0.53917,0.35471,0.35815,0.15376,1.96832,1.87503,1.61822,0.00103621,0.00103621,0.00103621
19,1813.41,1.7487,1.52628,1.46965,0.4593,0.33275,0.30879,0.13122,1.98275,1.94745,1.62038,0.00103181,0.00103181,0.00103181
20,1980.15,1.74979,1.51112,1.45256,0.49681,0.32803,0.31802,0.14188,1.98257,1.93617,1.6178,0.00102741,0.00102741,0.00102741
21,2067.01,1.70725,1.50379,1.46629,0.48096,0.36384,0.35096,0.15438,1.99021,1.83752,1.63252,0.00102301,0.00102301,0.00102301
22,2171.57,1.7029,1.4366,1.43343,0.49704,0.37091,0.34645,0.15395,1.98431,1.88818,1.62732,0.00101861,0.00101861,0.00101861
23,2258.76,1.70733,1.40211,1.43803,0.54436,0.36529,0.36642,0.15919,1.99462,1.83164,1.63656,0.00101421,0.00101421,0.00101421
24,2430.39,1.69387,1.36172,1.41358,0.51369,0.35866,0.34971,0.15531,1.96626,1.91801,1.61044,0.00100981,0.00100981,0.00100981
25,2521.46,1.6911,1.3728,1.42415,0.50699,0.35042,0.33477,0.14666,1.97398,1.89328,1.6058,0.00100541,0.00100541,0.00100541
26,2606.88,1.67361,1.36952,1.41827,0.47961,0.37572,0.34093,0.14629,2.00646,1.94407,1.64469,0.00100101,0.00100101,0.00100101
27,2697.37,1.67159,1.34683,1.41612,0.51017,0.37704,0.36378,0.15824,1.978,1.84549,1.61426,0.000996611,0.000996611,0.000996611
28,2782.86,1.64781,1.31548,1.399,0.48366,0.37578,0.34391,0.14924,1.97628,1.83946,1.63052,0.000992212,0.000992212,0.000992212
29,2872.44,1.63754,1.28828,1.38646,0.51952,0.37849,0.37358,0.16626,1.946,1.84315,1.59813,0.000987812,0.000987812,0.000987812
30,2958.79,1.63606,1.26042,1.40269,0.57205,0.36989,0.38246,0.16643,1.97811,1.79147,1.5884,0.000983413,0.000983413,0.000983413
31,3048.02,1.62315,1.24653,1.38389,0.55004,0.39502,0.37853,0.16579,1.99281,1.82591,1.62846,0.000979013,0.000979013,0.000979013
32,3134.68,1.60506,1.23562,1.37738,0.53057,0.38583,0.37551,0.1634,1.97765,1.82415,1.5966,0.000974614,0.000974614,0.000974614
33,3231.02,1.58529,1.19635,1.36006,0.51019,0.38666,0.37604,0.16803,1.97582,1.8196,1.6082,0.000970214,0.000970214,0.000970214
34,3393.89,1.58342,1.17976,1.34906,0.53383,0.3672,0.36945,0.16331,2.02402,1.84193,1.64689,0.000965815,0.000965815,0.000965815
35,3481.55,1.57232,1.17054,1.35158,0.5433,0.40448,0.38724,0.16845,1.9909,1.79676,1.6252,0.000961415,0.000961415,0.000961415
36,3568.15,1.53981,1.14096,1.33752,0.58013,0.40364,0.39058,0.17119,1.97856,1.801,1.62209,0.000957015,0.000957015,0.000957015
37,3655.84,1.57073,1.14033,1.34174,0.49981,0.39408,0.3586,0.15609,1.98741,1.83443,1.60895,0.000952616,0.000952616,0.000952616
38,3744.65,1.56074,1.13441,1.35118,0.59161,0.41308,0.41767,0.18153,1.97277,1.76272,1.60183,0.000948216,0.000948216,0.000948216
39,3833.68,1.56326,1.13223,1.33466,0.50879,0.42117,0.38827,0.17127,1.95458,1.77173,1.57585,0.000943817,0.000943817,0.000943817
40,3917.66,1.54744,1.08819,1.32745,0.52829,0.40098,0.37494,0.16299,1.97847,1.87249,1.6374,0.000939417,0.000939417,0.000939417
41,4005.81,1.53513,1.11918,1.34631,0.53501,0.39711,0.37402,0.16468,2.00965,1.86813,1.63315,0.000935018,0.000935018,0.000935018
42,4091.05,1.54699,1.09376,1.33128,0.56649,0.41542,0.40846,0.18028,1.95506,1.79462,1.59645,0.000930618,0.000930618,0.000930618
43,4178.93,1.51313,1.05844,1.30874,0.5202,0.41122,0.38644,0.17514,1.97091,1.80754,1.60869,0.000926218,0.000926218,0.000926218
44,4263.06,1.5085,1.05232,1.30557,0.53172,0.37336,0.36409,0.15982,1.97917,1.89545,1.61333,0.000921819,0.000921819,0.000921819
45,4350.83,1.51645,1.04235,1.30077,0.58188,0.41557,0.42126,0.18749,1.97575,1.78305,1.61424,0.000917419,0.000917419,0.000917419
46,4436.51,1.49981,1.01232,1.28532,0.56603,0.41463,0.39392,0.16892,2.00032,1.81805,1.63186,0.00091302,0.00091302,0.00091302
47,4531.79,1.49926,1.02055,1.29437,0.57045,0.4248,0.40293,0.17355,1.98692,1.78549,1.61167,0.00090862,0.00090862,0.00090862
48,4617.83,1.50026,1.01573,1.29668,0.57244,0.39176,0.39753,0.18144,1.97435,1.85472,1.6133,0.000904221,0.000904221,0.000904221
49,4718,1.4848,0.99724,1.27541,0.55341,0.40951,0.40419,0.17774,1.98795,1.80506,1.62478,0.000899821,0.000899821,0.000899821
50,4809.96,1.47997,0.9849,1.28043,0.55881,0.4242,0.40859,0.1823,1.99721,1.8547,1.64047,0.000895422,0.000895422,0.000895422
51,4905.96,1.45869,0.9937,1.29718,0.57712,0.42013,0.42176,0.18437,1.96793,1.74188,1.60701,0.000891022,0.000891022,0.000891022
